Time,Source,Destination,Protocol,Length,ICMP Type,ICMP Code,Traffic Rate,Packet Interval
1740599757.174845,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.175946,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.17701,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.178263,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.180386,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.181435,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.183455,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.184899,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.187475,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.188756,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.191583,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.191618,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.193639,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.193752,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.195963,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.196863,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.19951,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.199772,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.201806,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
1740599757.202718,192.168.122.28,192.168.122.58,1,1042,8,0,0,0
1740599757.20501,192.168.122.58,192.168.122.28,1,1042,0,0,0,0
